Date,Year,Quarter,Month_Number,Month_Name,Year_Month,Day_Number,Day_Name,Day_Of_Week,Is_Weekend
2023-01-01,2023,Q1,1,Jan,2023-01,1,Sunday,7,Yes
2023-01-02,2023,Q1,1,Jan,2023-01,2,Monday,1,No
2023-01-03,2023,Q1,1,Jan,2023-01,3,Tuesday,2,No
2023-01-04,2023,Q1,1,Jan,2023-01,4,Wednesday,3,No
2023-01-05,2023,Q1,1,Jan,2023-01,5,Thursday,4,No
2023-01-06,2023,Q1,1,Jan,2023-01,6,Friday,5,No
2023-01-07,2023,Q1,1,Jan,2023-01,7,Saturday,6,Yes
2023-01-08,2023,Q1,1,Jan,2023-01,8,Sunday,7,Yes
2023-01-09,2023,Q1,1,Jan,2023-01,9,Monday,1,No
2023-01-10,2023,Q1,1,Jan,2023-01,10,Tuesday,2,No
2023-01-11,2023,Q1,1,Jan,2023-01,11,Wednesday,3,No
2023-01-12,2023,Q1,1,Jan,2023-01,12,Thursday,4,No
2023-01-13,2023,Q1,1,Jan,2023-01,13,Friday,5,No
2023-01-14,2023,Q1,1,Jan,2023-01,14,Saturday,6,Yes
2023-01-15,2023,Q1,1,Jan,2023-01,15,Sunday,7,Yes
2023-01-16,2023,Q1,1,Jan,2023-01,16,Monday,1,No
2023-01-17,2023,Q1,1,Jan,2023-01,17,Tuesday,2,No
2023-01-18,2023,Q1,1,Jan,2023-01,18,Wednesday,3,No
2023-01-19,2023,Q1,1,Jan,2023-01,19,Thursday,4,No
2023-01-20,2023,Q1,1,Jan,2023-01,20,Friday,5,No
2023-01-21,2023,Q1,1,Jan,2023-01,21,Saturday,6,Yes
2023-01-22,2023,Q1,1,Jan,2023-01,22,Sunday,7,Yes
2023-01-23,2023,Q1,1,Jan,2023-01,23,Monday,1,No
2023-01-24,2023,Q1,1,Jan,2023-01,24,Tuesday,2,No
2023-01-25,2023,Q1,1,Jan,2023-01,25,Wednesday,3,No
2023-01-26,2023,Q1,1,Jan,2023-01,26,Thursday,4,No
2023-01-27,2023,Q1,1,Jan,2023-01,27,Friday,5,No
2023-01-28,2023,Q1,1,Jan,2023-01,28,Saturday,6,Yes
2023-01-29,2023,Q1,1,Jan,2023-01,29,Sunday,7,Yes
2023-01-30,2023,Q1,1,Jan,2023-01,30,Monday,1,No
2023-01-31,2023,Q1,1,Jan,2023-01,31,Tuesday,2,No
2023-02-01,2023,Q1,2,Feb,2023-02,1,Wednesday,3,No
2023-02-02,2023,Q1,2,Feb,2023-02,2,Thursday,4,No
2023-02-03,2023,Q1,2,Feb,2023-02,3,Friday,5,No
2023-02-04,2023,Q1,2,Feb,2023-02,4,Saturday,6,Yes
2023-02-05,2023,Q1,2,Feb,2023-02,5,Sunday,7,Yes
2023-02-06,2023,Q1,2,Feb,2023-02,6,Monday,1,No
2023-02-07,2023,Q1,2,Feb,2023-02,7,Tuesday,2,No
2023-02-08,2023,Q1,2,Feb,2023-02,8,Wednesday,3,No
2023-02-09,2023,Q1,2,Feb,2023-02,9,Thursday,4,No
2023-02-10,2023,Q1,2,Feb,2023-02,10,Friday,5,No
2023-02-11,2023,Q1,2,Feb,2023-02,11,Saturday,6,Yes
2023-02-12,2023,Q1,2,Feb,2023-02,12,Sunday,7,Yes
2023-02-13,2023,Q1,2,Feb,2023-02,13,Monday,1,No
2023-02-14,2023,Q1,2,Feb,2023-02,14,Tuesday,2,No
2023-02-15,2023,Q1,2,Feb,2023-02,15,Wednesday,3,No
2023-02-16,2023,Q1,2,Feb,2023-02,16,Thursday,4,No
2023-02-17,2023,Q1,2,Feb,2023-02,17,Friday,5,No
2023-02-18,2023,Q1,2,Feb,2023-02,18,Saturday,6,Yes
2023-02-19,2023,Q1,2,Feb,2023-02,19,Sunday,7,Yes
2023-02-20,2023,Q1,2,Feb,2023-02,20,Monday,1,No
2023-02-21,2023,Q1,2,Feb,2023-02,21,Tuesday,2,No
2023-02-22,2023,Q1,2,Feb,2023-02,22,Wednesday,3,No
2023-02-23,2023,Q1,2,Feb,2023-02,23,Thursday,4,No
2023-02-24,2023,Q1,2,Feb,2023-02,24,Friday,5,No
2023-02-25,2023,Q1,2,Feb,2023-02,25,Saturday,6,Yes
2023-02-26,2023,Q1,2,Feb,2023-02,26,Sunday,7,Yes
2023-02-27,2023,Q1,2,Feb,2023-02,27,Monday,1,No
2023-02-28,2023,Q1,2,Feb,2023-02,28,Tuesday,2,No
2023-03-01,2023,Q1,3,Mar,2023-03,1,Wednesday,3,No
2023-03-02,2023,Q1,3,Mar,2023-03,2,Thursday,4,No
2023-03-03,2023,Q1,3,Mar,2023-03,3,Friday,5,No
2023-03-04,2023,Q1,3,Mar,2023-03,4,Saturday,6,Yes
2023-03-05,2023,Q1,3,Mar,2023-03,5,Sunday,7,Yes
2023-03-06,2023,Q1,3,Mar,2023-03,6,Monday,1,No
2023-03-07,2023,Q1,3,Mar,2023-03,7,Tuesday,2,No
2023-03-08,2023,Q1,3,Mar,2023-03,8,Wednesday,3,No
2023-03-09,2023,Q1,3,Mar,2023-03,9,Thursday,4,No
2023-03-10,2023,Q1,3,Mar,2023-03,10,Friday,5,No
2023-03-11,2023,Q1,3,Mar,2023-03,11,Saturday,6,Yes
2023-03-12,2023,Q1,3,Mar,2023-03,12,Sunday,7,Yes
2023-03-13,2023,Q1,3,Mar,2023-03,13,Monday,1,No
2023-03-14,2023,Q1,3,Mar,2023-03,14,Tuesday,2,No
2023-03-15,2023,Q1,3,Mar,2023-03,15,Wednesday,3,No
2023-03-16,2023,Q1,3,Mar,2023-03,16,Thursday,4,No
2023-03-17,2023,Q1,3,Mar,2023-03,17,Friday,5,No
2023-03-18,2023,Q1,3,Mar,2023-03,18,Saturday,6,Yes
2023-03-19,2023,Q1,3,Mar,2023-03,19,Sunday,7,Yes
2023-03-20,2023,Q1,3,Mar,2023-03,20,Monday,1,No
2023-03-21,2023,Q1,3,Mar,2023-03,21,Tuesday,2,No
2023-03-22,2023,Q1,3,Mar,2023-03,22,Wednesday,3,No
2023-03-23,2023,Q1,3,Mar,2023-03,23,Thursday,4,No
2023-03-24,2023,Q1,3,Mar,2023-03,24,Friday,5,No
2023-03-25,2023,Q1,3,Mar,2023-03,25,Saturday,6,Yes
2023-03-26,2023,Q1,3,Mar,2023-03,26,Sunday,7,Yes
2023-03-27,2023,Q1,3,Mar,2023-03,27,Monday,1,No
2023-03-28,2023,Q1,3,Mar,2023-03,28,Tuesday,2,No
2023-03-29,2023,Q1,3,Mar,2023-03,29,Wednesday,3,No
2023-03-30,2023,Q1,3,Mar,2023-03,30,Thursday,4,No
2023-03-31,2023,Q1,3,Mar,2023-03,31,Friday,5,No
2023-04-01,2023,Q2,4,Apr,2023-04,1,Saturday,6,Yes
2023-04-02,2023,Q2,4,Apr,2023-04,2,Sunday,7,Yes
2023-04-03,2023,Q2,4,Apr,2023-04,3,Monday,1,No
2023-04-04,2023,Q2,4,Apr,2023-04,4,Tuesday,2,No
2023-04-05,2023,Q2,4,Apr,2023-04,5,Wednesday,3,No
2023-04-06,2023,Q2,4,Apr,2023-04,6,Thursday,4,No
2023-04-07,2023,Q2,4,Apr,2023-04,7,Friday,5,No
2023-04-08,2023,Q2,4,Apr,2023-04,8,Saturday,6,Yes
2023-04-09,2023,Q2,4,Apr,2023-04,9,Sunday,7,Yes
2023-04-10,2023,Q2,4,Apr,2023-04,10,Monday,1,No
2023-04-11,2023,Q2,4,Apr,2023-04,11,Tuesday,2,No
2023-04-12,2023,Q2,4,Apr,2023-04,12,Wednesday,3,No
2023-04-13,2023,Q2,4,Apr,2023-04,13,Thursday,4,No
2023-04-14,2023,Q2,4,Apr,2023-04,14,Friday,5,No
2023-04-15,2023,Q2,4,Apr,2023-04,15,Saturday,6,Yes
2023-04-16,2023,Q2,4,Apr,2023-04,16,Sunday,7,Yes
2023-04-17,2023,Q2,4,Apr,2023-04,17,Monday,1,No
2023-04-18,2023,Q2,4,Apr,2023-04,18,Tuesday,2,No
2023-04-19,2023,Q2,4,Apr,2023-04,19,Wednesday,3,No
2023-04-20,2023,Q2,4,Apr,2023-04,20,Thursday,4,No
2023-04-21,2023,Q2,4,Apr,2023-04,21,Friday,5,No
2023-04-22,2023,Q2,4,Apr,2023-04,22,Saturday,6,Yes
2023-04-23,2023,Q2,4,Apr,2023-04,23,Sunday,7,Yes
2023-04-24,2023,Q2,4,Apr,2023-04,24,Monday,1,No
2023-04-25,2023,Q2,4,Apr,2023-04,25,Tuesday,2,No
2023-04-26,2023,Q2,4,Apr,2023-04,26,Wednesday,3,No
2023-04-27,2023,Q2,4,Apr,2023-04,27,Thursday,4,No
2023-04-28,2023,Q2,4,Apr,2023-04,28,Friday,5,No
2023-04-29,2023,Q2,4,Apr,2023-04,29,Saturday,6,Yes
2023-04-30,2023,Q2,4,Apr,2023-04,30,Sunday,7,Yes
2023-05-01,2023,Q2,5,May,2023-05,1,Monday,1,No
2023-05-02,2023,Q2,5,May,2023-05,2,Tuesday,2,No
2023-05-03,2023,Q2,5,May,2023-05,3,Wednesday,3,No
2023-05-04,2023,Q2,5,May,2023-05,4,Thursday,4,No
