Trx_ID;Order_Date;Cust_ID_Raw;Raw_SKU;Qty;Voucher_Code;Service_Key;Ship_Date;Delivery_Date;Sales_Rep;Channel;Payment_Method
TRX-2024-0001;02/01/2024;CUST-002;PRD-ELEC-001;2;FLAT50K;SISEPAT-BEST;04/01/2024;05/01/2024;SR-102;Tokopedia;PayLater
TRX-2024-0002;05/01/2024;CUST-001;NEW-PRD-ELEC-002-2024;5;-;JNT-REG;07/01/2024;11/01/2024;SR-101;Offline Store;E-Wallet
TRX-2024-0003;06/01/2024;CUST-005;PRD-BEAU-001-v1;2;-;JNT-REG;07/01/2024;08/01/2024;SR-104;Website;Bank Transfer
TRX-2024-0004;08/01/2024; CUST-002 ;OLD_PRD-FASH-002;3;-;JNE-REG;09/01/2024;13/01/2024;SR-103;Tokopedia;COD
TRX-2024-0005;10/01/2024;CUST-005;PRD-BEAU-002;3;-;JNE-YES;11/01/2024;17/01/2024;SR-102;Tokopedia;Credit Card
TRX-2024-0006;13/01/2024;CUST-004;OLD_PRD-BEAU-002;3;FREESHIP;JNT-REG;14/01/2024;19/01/2024;SR-103;Shopee;Bank Transfer
TRX-2024-0007;15/01/2024;CUST-002;PRD-HOME-001-2024;5;-;JNE-YES;18/01/2024;20/01/2024;SR-102;Shopee;COD
TRX-2024-0008;17/01/2024; CUST-006 ;PRD-BEAU-002-v1;2;-;JNT-EXP;18/01/2024;22/01/2024;SR-101;Website;COD
TRX-2024-0009;18/01/2024;CUST-006;PRD-ELEC-004;4;-;JNT-REG;21/01/2024;25/01/2024;SR-104;Shopee;Bank Transfer
TRX-2024-0010;21/01/2024;CUST-005;PRD-HOME-003;5;FREESHIP;JNT-EXP;22/01/2024;28/01/2024;SR-103;Shopee;E-Wallet
TRX-2024-0011;23/01/2024;CUST-002;PRD-ELEC-003-2024;4;-;SISEPAT-BEST;24/01/2024;28/01/2024;SR-101;TikTok Shop;COD
TRX-2024-0012;25/01/2024; CUST-001 ;PRD-HOME-002-v1;5;-;JNE-REG;26/01/2024;29/01/2024;SR-103;Website;Credit Card
TRX-2024-0013;27/01/2024;CUST-001;PRD-HOME-003;5;-;SISEPAT-GOKIL;30/01/2024;03/02/2024;SR-102;Offline Store;Credit Card
TRX-2024-0014;29/01/2024;CUST-004;PROD_PRD-ELEC-003-2024;5;-;JNE-REG;30/01/2024;31/01/2024;SR-105;Tokopedia;PayLater
TRX-2024-0015;30/01/2024;CUST-006;PRD-BEAU-003;2;DISC10;SISEPAT-GOKIL;01/02/2024;07/02/2024;SR-102;Offline Store;Credit Card
TRX-2024-0016;02/02/2024; CUST-002 ;PRD-BEAU-001-2024;2;-;SISEPAT-BEST;05/02/2024;08/02/2024;SR-104;Offline Store;E-Wallet
TRX-2024-0017;04/02/2024;CUST-004;PRD-BEAU-003;2;-;SISEPAT-BEST;06/02/2024;07/02/2024;SR-103;TikTok Shop;Bank Transfer
TRX-2024-0018;05/02/2024;CUST-004;OLD_PRD-ELEC-004;1;-;JNT-EXP;06/02/2024;11/02/2024;SR-105;Shopee;PayLater
TRX-2024-0019;08/02/2024;CUST-001;OLD_PRD-ELEC-004-v1;3;DISC10;JNT-REG;11/02/2024;13/02/2024;SR-105;Shopee;Bank Transfer
TRX-2024-0020;09/02/2024; CUST-010 ;PRD-HOME-001-2024;4;-;SISEPAT-GOKIL;11/02/2024;13/02/2024;SR-104;Shopee;Credit Card
TRX-2024-0021;12/02/2024;CUST-007;PRD-FASH-002;1;-;JNT-EXP;13/02/2024;15/02/2024;SR-101;Tokopedia;COD
TRX-2024-0022;13/02/2024;CUST-004;PRD-FASH-004-2024;4;FLAT50K;JNE-REG;16/02/2024;17/02/2024;SR-103;TikTok Shop;E-Wallet
TRX-2024-0023;16/02/2024;CUST-001;PRD-HOME-002-v1;1;-;JNE-REG;17/02/2024;23/02/2024;SR-102;Shopee;COD
TRX-2024-0024;18/02/2024; CUST-007 ;OLD_PRD-BEAU-003-2024;4;DISC10;JNE-REG;21/02/2024;26/02/2024;SR-104;Website;COD
TRX-2024-0025;20/02/2024;CUST-008;NEW-PRD-ELEC-003;2;DISC10;JNT-EXP;21/02/2024;25/02/2024;SR-105;Offline Store;Credit Card
TRX-2024-0026;21/02/2024;CUST-008;PRD-FASH-004;2;DISC10;SISEPAT-BEST;22/02/2024;27/02/2024;SR-105;Tokopedia;E-Wallet
TRX-2024-0027;23/02/2024;CUST-004;OLD_PRD-FASH-002;2;-;JNE-REG;26/02/2024;01/03/2024;SR-105;Tokopedia;PayLater
TRX-2024-0028;26/02/2024; CUST-009 ;PROD_PRD-FASH-001-2024;3;FLAT50K;JNE-REG;27/02/2024;04/03/2024;SR-103;TikTok Shop;E-Wallet
TRX-2024-0029;28/02/2024;CUST-002;PRD-ELEC-001;5;DISC10;JNT-REG;29/02/2024;01/03/2024;SR-101;Offline Store;E-Wallet
TRX-2024-0030;29/02/2024;CUST-004;PROD_PRD-FASH-001-2024;4;-;SISEPAT-GOKIL;03/03/2024;05/03/2024;SR-105;Website;PayLater
TRX-2024-0031;03/03/2024;CUST-002;NEW-PRD-BEAU-003;1;DISC10;SISEPAT-BEST;04/03/2024;09/03/2024;SR-105;Shopee;Bank Transfer
TRX-2024-0032;04/03/2024; CUST-006 ;PRD-ELEC-004;3;-;SISEPAT-GOKIL;06/03/2024;12/03/2024;SR-104;Website;Credit Card
TRX-2024-0033;07/03/2024;CUST-005;OLD_PRD-ELEC-001;2;-;SISEPAT-BEST;08/03/2024;09/03/2024;SR-103;Shopee;COD
TRX-2024-0034;08/03/2024;CUST-002;PRD-BEAU-003-2024;5;DISC10;JNE-REG;09/03/2024;10/03/2024;SR-103;Offline Store;PayLater
TRX-2024-0035;11/03/2024;CUST-005;PRD-FASH-001-v1;3;FLAT50K;SISEPAT-BEST;12/03/2024;14/03/2024;SR-102;Tokopedia;Bank Transfer
TRX-2024-0036;12/03/2024; CUST-003 ;PRD-BEAU-001-2024;4;DISC10;JNE-YES;13/03/2024;19/03/2024;SR-102;Website;COD
TRX-2024-0037;15/03/2024;CUST-002;PRD-FASH-002-v1;4;FLAT50K;JNT-REG;16/03/2024;17/03/2024;SR-102;TikTok Shop;Bank Transfer
TRX-2024-0038;17/03/2024;CUST-004;PROD_PRD-FASH-002;1;-;SISEPAT-GOKIL;20/03/2024;22/03/2024;SR-103;Website;PayLater
TRX-2024-0039;19/03/2024;CUST-001;PROD_PRD-ELEC-002-2024;5;DISC20MAX30K;JNE-YES;20/03/2024;23/03/2024;SR-101;Tokopedia;PayLater
TRX-2024-0040;20/03/2024; CUST-010 ;OLD_PRD-FASH-004;5;FLAT50K;SISEPAT-BEST;23/03/2024;28/03/2024;SR-103;Tokopedia;COD
TRX-2024-0041;23/03/2024;CUST-004;PRD-FASH-001-v1;3;-;SISEPAT-GOKIL;25/03/2024;27/03/2024;SR-103;Tokopedia;Bank Transfer
TRX-2024-0042;25/03/2024;CUST-007;PROD_PRD-HOME-003;2;FLAT50K;JNE-REG;28/03/2024;03/04/2024;SR-104;TikTok Shop;E-Wallet
TRX-2024-0043;27/03/2024;CUST-001;PROD_PRD-ELEC-005-2024;4;-;JNE-REG;29/03/2024;03/04/2024;SR-105;Offline Store;Bank Transfer
TRX-2024-0044;29/03/2024; CUST-004 ;PRD-FASH-004;2;-;JNT-EXP;30/03/2024;04/04/2024;SR-101;Website;PayLater
TRX-2024-0045;30/03/2024;CUST-005;PRD-ELEC-004-2024;2;DISC10;JNE-REG;01/04/2024;06/04/2024;SR-101;Shopee;COD
TRX-2024-0046;01/04/2024;CUST-010;PRD-ELEC-004;4;FREESHIP;JNT-EXP;03/04/2024;05/04/2024;SR-104;Shopee;E-Wallet
TRX-2024-0047;04/04/2024;CUST-003;PRD-BEAU-001;4;DISC10;JNT-REG;06/04/2024;11/04/2024;SR-105;Shopee;Credit Card
TRX-2024-0048;06/04/2024; CUST-009 ;PRD-FASH-004;4;-;JNT-REG;08/04/2024;11/04/2024;SR-105;TikTok Shop;PayLater
TRX-2024-0049;08/04/2024;CUST-005;NEW-PRD-BEAU-001;3;-;JNE-REG;09/04/2024;14/04/2024;SR-105;TikTok Shop;E-Wallet
TRX-2024-0050;09/04/2024;CUST-005;PROD_PRD-ELEC-004;3;-;JNE-REG;10/04/2024;15/04/2024;SR-101;Shopee;E-Wallet
TRX-2024-0051;11/04/2024;CUST-004;PRD-ELEC-002;3;-;JNE-REG;13/04/2024;19/04/2024;SR-104;TikTok Shop;Credit Card
TRX-2024-0052;14/04/2024; CUST-010 ;OLD_PRD-HOME-003;4;FREESHIP;JNE-REG;17/04/2024;22/04/2024;SR-101;Website;Bank Transfer
TRX-2024-0053;15/04/2024;CUST-009;PRD-BEAU-001-2024;4;FLAT50K;JNE-REG;16/04/2024;21/04/2024;SR-103;TikTok Shop;COD
TRX-2024-0054;17/04/2024;CUST-007;NEW-PRD-HOME-003;2;-;JNT-EXP;19/04/2024;21/04/2024;SR-105;Tokopedia;COD
TRX-2024-0055;20/04/2024;CUST-008;OLD_PRD-ELEC-003;4;DISC20MAX30K;JNE-REG;21/04/2024;27/04/2024;SR-102;TikTok Shop;Bank Transfer
TRX-2024-0056;21/04/2024; CUST-007 ;PRD-ELEC-005-v1;4;DISC10;SISEPAT-GOKIL;22/04/2024;28/04/2024;SR-105;Tokopedia;Bank Transfer
TRX-2024-0057;23/04/2024;CUST-001;OLD_PRD-BEAU-001-2024;2;-;JNT-REG;25/04/2024;30/04/2024;SR-101;Offline Store;E-Wallet
TRX-2024-0058;25/04/2024;CUST-002;NEW-PRD-HOME-001;3;-;JNT-REG;26/04/2024;27/04/2024;SR-103;Shopee;PayLater
TRX-2024-0059;27/04/2024;CUST-010;PROD_PRD-ELEC-001;4;FREESHIP;JNT-EXP;28/04/2024;04/05/2024;SR-102;Tokopedia;PayLater
TRX-2024-0060;29/04/2024; CUST-010 ;OLD_PRD-BEAU-001;1;DISC20MAX30K;SISEPAT-BEST;30/04/2024;01/05/2024;SR-105;TikTok Shop;Bank Transfer
TRX-2024-0061;01/05/2024;CUST-007;PRD-BEAU-002-v1;4;DISC20MAX30K;SISEPAT-GOKIL;04/05/2024;09/05/2024;SR-104;Shopee;COD
TRX-2024-0062;04/05/2024;CUST-005;PRD-HOME-001;4;FREESHIP;JNT-REG;05/05/2024;07/05/2024;SR-104;Offline Store;Bank Transfer
TRX-2024-0063;06/05/2024;CUST-008;PRD-ELEC-004;5;-;JNE-YES;07/05/2024;10/05/2024;SR-104;Website;Credit Card
