Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Store_ID,Channel,Courier,Payment_Method,Qty,Unit_Price,Discount_Rate,Delivery_Status
TRX-00520,2023-01-01,2023-01-01,CUST-100,PRD-BEAU-003,STR-10,Offline Store,Store Pickup,Cash,1,85000,0.05,On-Time
TRX-00532,2023-01-01,2023-01-02,CUST-093,PRD-ELEC-002,STR-11,Shopee,JNE,Mandiri Virtual Account,4,550000,0.05,On-Time
TRX-00219,2023-01-04,2023-01-05,CUST-053,PRD-ELEC-005,STR-15,Official Website,JNE,Credit Card,2,320000,0.0,On-Time
TRX-00260,2023-01-05,2023-01-06,CUST-063,PRD-ELEC-005,STR-01,TikTok Shop,JNE,QRIS,1,320000,0.0,On-Time
TRX-00359,2023-01-05,2023-01-05,CUST-061,PRD-FNB-006,STR-04,Offline Store,Store Pickup,GoPay,1,80000,0.0,On-Time
TRX-00484,2023-01-05,2023-01-07,CUST-002,PRD-BEAU-004,STR-01,Shopee,J&T Express,Mandiri Virtual Account,1,160000,0.05,On-Time
TRX-00508,2023-01-05,2023-01-10,CUST-030,PRD-ELEC-003,STR-15,Shopee,SiCepat,ShopeePay,1,280000,0.0,Late Delivery
TRX-00550,2023-01-05,2023-01-05,CUST-009,PRD-HOME-001,STR-11,Offline Store,Store Pickup,GoPay,7,220000,0.0,On-Time
TRX-00248,2023-01-06,2023-01-07,CUST-013,PRD-FASH-003,STR-01,TikTok Shop,J&T Express,ShopeePay,1,120000,0.05,On-Time
TRX-00628,2023-01-06,2023-01-08,CUST-061,PRD-HOME-003,STR-15,Official Website,Instant Courier,GoPay,1,260000,0.0,On-Time
TRX-00411,2023-01-07,2023-01-08,CUST-067,PRD-ELEC-004,STR-15,TikTok Shop,SiCepat,GoPay,1,1100000,0.0,On-Time
TRX-00415,2023-01-07,2023-01-07,CUST-096,PRD-FASH-003,STR-08,Offline Store,Store Pickup,Cash,1,120000,0.1,On-Time
TRX-00211,2023-01-08,2023-01-10,CUST-028,PRD-FNB-006,STR-04,Official Website,AnterAja,QRIS,1,80000,0.05,On-Time
TRX-00027,2023-01-09,2023-01-11,CUST-012,PRD-FASH-004,STR-15,Shopee,JNE,ShopeePay,1,160000,0.05,On-Time
TRX-00215,2023-01-09,2023-01-10,CUST-034,PRD-HOME-006,STR-15,Shopee,JNE,Cash,3,175000,0.05,On-Time
TRX-00011,2023-01-11,2023-01-15,CUST-098,PRD-BEAU-001,STR-04,Shopee,AnterAja,ShopeePay,1,135000,0.0,Late Delivery
TRX-00131,2023-01-11,2023-01-12,CUST-050,PRD-FNB-004,STR-15,Shopee,SiCepat,BCA Virtual Account,5,170000,0.0,On-Time
TRX-00195,2023-01-12,2023-01-14,CUST-051,PRD-FASH-003,STR-15,Tokopedia,JNE,Credit Card,8,120000,0.0,On-Time
TRX-00553,2023-01-12,2023-01-14,CUST-006,PRD-FASH-002,STR-04,Shopee,J&T Express,GoPay,3,270000,0.0,On-Time
TRX-00300,2023-01-13,2023-01-13,CUST-030,PRD-HOME-006,STR-06,Offline Store,Store Pickup,BCA Virtual Account,1,175000,0.1,On-Time
TRX-00041,2023-01-14,2023-01-16,CUST-012,PRD-FASH-002,STR-11,TikTok Shop,Instant Courier,GoPay,4,270000,0.1,On-Time
TRX-00143,2023-01-14,2023-01-14,CUST-095,PRD-ELEC-006,STR-02,Offline Store,Store Pickup,GoPay,5,490000,0.0,On-Time
TRX-00235,2023-01-14,2023-01-15,CUST-012,PRD-FASH-006,STR-06,Official Website,J&T Express,Cash,1,450000,0.05,On-Time
TRX-00476,2023-01-15,2023-01-18,CUST-062,PRD-ELEC-004,STR-15,Official Website,SiCepat,ShopeePay,1,1100000,0.0,On-Time
TRX-00589,2023-01-15,2023-01-15,CUST-023,PRD-FASH-001,STR-08,Offline Store,Store Pickup,ShopeePay,4,240000,0.1,On-Time
TRX-00017,2023-01-16,2023-01-20,CUST-032,PRD-FASH-001,STR-15,Tokopedia,J&T Express,ShopeePay,2,240000,0.05,Late Delivery
TRX-00292,2023-01-16,2023-01-17,CUST-043,PRD-FNB-002,STR-11,Tokopedia,SiCepat,Credit Card,1,90000,0.0,On-Time
TRX-00555,2023-01-16,2023-01-18,CUST-072,PRD-FASH-003,STR-15,Shopee,SiCepat,QRIS,1,120000,0.0,On-Time
TRX-00619,2023-01-16,2023-01-18,CUST-031,PRD-HOME-002,STR-15,Shopee,JNE,QRIS,2,195000,0.0,On-Time
TRX-00037,2023-01-17,2023-01-19,CUST-030,PRD-FASH-004,STR-01,Shopee,AnterAja,QRIS,2,160000,0.05,On-Time
TRX-00201,2023-01-17,2023-01-17,CUST-085,PRD-HOME-002,STR-04,Offline Store,Store Pickup,Mandiri Virtual Account,2,195000,0.15,On-Time
TRX-00483,2023-01-17,2023-01-18,CUST-065,PRD-FASH-006,STR-11,Tokopedia,SiCepat,QRIS,1,450000,0.05,On-Time
TRX-00579,2023-01-17,2023-01-17,CUST-086,PRD-BEAU-001,STR-01,Offline Store,Store Pickup,BCA Virtual Account,2,135000,0.0,On-Time
TRX-00315,2023-01-18,2023-01-19,CUST-079,PRD-BEAU-002,STR-06,Shopee,JNE,ShopeePay,2,110000,0.05,On-Time
TRX-00334,2023-01-18,2023-01-20,CUST-038,PRD-ELEC-001,STR-15,Tokopedia,JNE,Credit Card,1,750000,0.15,On-Time
TRX-00343,2023-01-18,2023-01-20,CUST-065,PRD-BEAU-001,STR-01,TikTok Shop,J&T Express,Mandiri Virtual Account,3,135000,0.1,On-Time
TRX-00647,2023-01-18,2023-01-20,CUST-010,PRD-ELEC-003,STR-06,Shopee,J&T Express,BCA Virtual Account,1,280000,0.0,On-Time
TRX-00054,2023-01-19,2023-01-22,CUST-017,PRD-HOME-005,STR-06,Tokopedia,J&T Express,BCA Virtual Account,4,290000,0.0,On-Time
TRX-00590,2023-01-19,2023-01-20,CUST-083,PRD-ELEC-005,STR-06,Shopee,AnterAja,Cash,5,320000,0.0,On-Time
TRX-00183,2023-01-20,2023-01-20,CUST-002,PRD-FASH-004,STR-05,Offline Store,Store Pickup,ShopeePay,1,160000,0.0,On-Time
TRX-00453,2023-01-21,2023-01-23,CUST-074,PRD-ELEC-005,STR-11,Tokopedia,SiCepat,BCA Virtual Account,1,320000,0.0,On-Time
TRX-00101,2023-01-22,2023-01-22,CUST-056,PRD-ELEC-001,STR-10,Offline Store,Store Pickup,ShopeePay,5,750000,0.15,On-Time
TRX-00226,2023-01-22,2023-01-24,CUST-030,PRD-FASH-001,STR-15,TikTok Shop,AnterAja,GoPay,3,240000,0.05,On-Time
TRX-00154,2023-01-24,2023-01-25,CUST-083,PRD-FNB-001,STR-15,Tokopedia,SiCepat,QRIS,6,125000,0.0,On-Time
TRX-00387,2023-01-24,2023-01-25,CUST-002,PRD-FNB-004,STR-06,Shopee,Instant Courier,QRIS,1,170000,0.05,On-Time
TRX-00136,2023-01-25,2023-01-29,CUST-084,PRD-FASH-005,STR-15,Shopee,JNE,GoPay,1,320000,0.1,Late Delivery
TRX-00309,2023-01-26,2023-01-28,CUST-087,PRD-FASH-004,STR-15,Tokopedia,JNE,Mandiri Virtual Account,1,160000,0.2,On-Time
TRX-00350,2023-01-26,2023-01-27,CUST-096,PRD-HOME-004,STR-06,Tokopedia,JNE,ShopeePay,3,350000,0.1,On-Time
TRX-00603,2023-01-26,2023-01-27,CUST-017,PRD-ELEC-001,STR-15,Tokopedia,JNE,Credit Card,1,750000,0.05,On-Time
TRX-00082,2023-01-27,2023-01-29,CUST-017,PRD-BEAU-006,STR-15,Tokopedia,JNE,ShopeePay,1,95000,0.0,On-Time
TRX-00091,2023-01-27,2023-01-30,CUST-037,PRD-BEAU-002,STR-15,Shopee,JNE,GoPay,1,110000,0.0,On-Time
TRX-00320,2023-01-29,2023-01-30,CUST-098,PRD-FASH-002,STR-11,Shopee,Instant Courier,Mandiri Virtual Account,1,270000,0.2,On-Time
TRX-00208,2023-01-30,2023-02-01,CUST-072,PRD-HOME-002,STR-15,Tokopedia,J&T Express,ShopeePay,4,195000,0.05,On-Time
TRX-00039,2023-01-31,2023-02-02,CUST-022,PRD-FNB-002,STR-15,TikTok Shop,J&T Express,QRIS,1,90000,0.05,On-Time
TRX-00196,2023-01-31,2023-02-05,CUST-009,PRD-FNB-006,STR-04,Shopee,SiCepat,QRIS,5,80000,0.0,Late Delivery
TRX-00218,2023-01-31,2023-01-31,CUST-068,PRD-ELEC-002,STR-11,Offline Store,Store Pickup,BCA Virtual Account,8,550000,0.1,On-Time
TRX-00266,2023-01-31,2023-02-02,CUST-073,PRD-FASH-006,STR-11,Tokopedia,J&T Express,Cash,1,450000,0.05,On-Time
TRX-00618,2023-02-01,2023-02-04,CUST-048,PRD-FNB-005,STR-06,Official Website,JNE,Cash,1,140000,0.0,On-Time
TRX-00073,2023-02-02,2023-02-03,CUST-082,PRD-FNB-003,STR-15,TikTok Shop,J&T Express,ShopeePay,1,115000,0.05,On-Time
TRX-00289,2023-02-03,2023-02-04,CUST-040,PRD-BEAU-005,STR-15,Tokopedia,AnterAja,Credit Card,1,125000,0.15,On-Time
TRX-00202,2023-02-04,2023-02-05,CUST-013,PRD-BEAU-002,STR-15,Official Website,SiCepat,Mandiri Virtual Account,1,110000,0.05,On-Time
TRX-00559,2023-02-04,2023-02-06,CUST-072,PRD-HOME-006,STR-06,Shopee,SiCepat,ShopeePay,3,175000,0.0,On-Time
TRX-00588,2023-02-04,2023-02-06,CUST-040,PRD-FASH-004,STR-01,Tokopedia,JNE,Credit Card,1,160000,0.0,On-Time
TRX-00650,2023-02-05,2023-02-05,CUST-070,PRD-FASH-002,STR-08,Offline Store,Store Pickup,BCA Virtual Account,1,270000,0.15,On-Time
TRX-00033,2023-02-07,2023-02-07,CUST-074,PRD-BEAU-003,STR-05,Offline Store,Store Pickup,BCA Virtual Account,2,85000,0.0,On-Time
TRX-00326,2023-02-07,2023-02-08,CUST-048,PRD-BEAU-005,STR-15,Tokopedia,J&T Express,ShopeePay,3,125000,0.0,On-Time
TRX-00474,2023-02-07,2023-02-09,CUST-065,PRD-FASH-004,STR-15,Shopee,JNE,GoPay,1,160000,0.0,On-Time
TRX-00020,2023-02-08,2023-02-11,CUST-076,PRD-BEAU-005,STR-15,TikTok Shop,SiCepat,Cash,2,125000,0.0,On-Time
TRX-00140,2023-02-08,2023-02-11,CUST-086,PRD-BEAU-003,STR-15,Official Website,J&T Express,QRIS,1,85000,0.0,On-Time
TRX-00449,2023-02-09,2023-02-10,CUST-067,PRD-FASH-003,STR-15,Shopee,AnterAja,ShopeePay,1,120000,0.15,On-Time
TRX-00525,2023-02-10,2023-02-12,CUST-060,PRD-FNB-002,STR-06,Official Website,AnterAja,BCA Virtual Account,2,90000,0.0,On-Time
TRX-00056,2023-02-11,2023-02-11,CUST-043,PRD-FNB-004,STR-11,Offline Store,Store Pickup,QRIS,2,170000,0.0,On-Time
TRX-00114,2023-02-11,2023-02-11,CUST-075,PRD-BEAU-004,STR-12,Offline Store,Store Pickup,QRIS,1,160000,0.0,On-Time
TRX-00233,2023-02-12,2023-02-13,CUST-035,PRD-ELEC-005,STR-04,TikTok Shop,JNE,BCA Virtual Account,5,320000,0.05,On-Time
TRX-00461,2023-02-12,2023-02-14,CUST-037,PRD-BEAU-002,STR-04,Tokopedia,SiCepat,BCA Virtual Account,3,110000,0.0,On-Time
TRX-00236,2023-02-13,2023-02-14,CUST-093,PRD-FNB-005,STR-15,Tokopedia,SiCepat,GoPay,1,140000,0.2,On-Time
TRX-00024,2023-02-14,2023-02-15,CUST-036,PRD-FNB-005,STR-01,TikTok Shop,JNE,GoPay,1,140000,0.1,On-Time
TRX-00599,2023-02-14,2023-02-16,CUST-043,PRD-HOME-003,STR-04,Official Website,J&T Express,QRIS,3,260000,0.0,On-Time
TRX-00181,2023-02-15,2023-02-15,CUST-084,PRD-BEAU-001,STR-01,Offline Store,Store Pickup,Mandiri Virtual Account,1,135000,0.05,On-Time
TRX-00368,2023-02-15,2023-02-17,CUST-029,PRD-FASH-006,STR-06,Shopee,JNE,ShopeePay,1,450000,0.1,On-Time
TRX-00468,2023-02-15,2023-02-16,CUST-009,PRD-FASH-003,STR-04,TikTok Shop,AnterAja,QRIS,3,120000,0.0,On-Time
TRX-00617,2023-02-15,2023-02-15,CUST-075,PRD-ELEC-001,STR-14,Offline Store,Store Pickup,GoPay,2,750000,0.0,On-Time
TRX-00071,2023-02-16,2023-02-18,CUST-051,PRD-ELEC-001,STR-01,Shopee,SiCepat,Cash,4,750000,0.0,On-Time
TRX-00078,2023-02-16,2023-02-17,CUST-085,PRD-FASH-001,STR-04,Tokopedia,J&T Express,Credit Card,2,240000,0.05,On-Time
TRX-00335,2023-02-17,2023-02-19,CUST-044,PRD-BEAU-002,STR-15,Official Website,SiCepat,ShopeePay,4,110000,0.1,On-Time
TRX-00388,2023-02-17,2023-02-19,CUST-048,PRD-FNB-003,STR-15,Shopee,AnterAja,ShopeePay,1,115000,0.0,On-Time
TRX-00310,2023-02-18,2023-02-19,CUST-060,PRD-ELEC-004,STR-06,Tokopedia,Instant Courier,Cash,2,1100000,0.0,On-Time
TRX-00367,2023-02-19,2023-02-22,CUST-061,PRD-ELEC-005,STR-11,TikTok Shop,AnterAja,QRIS,2,320000,0.05,On-Time
